#OTU ID	C001.extendedFrags.fastq.gz	C002.extendedFrags.fastq.gz	C003.extendedFrags.fastq.gz	C004.extendedFrags.fastq.gz	C005.extendedFrags.fastq.gz	C006.extendedFrags.fastq.gz	C007.extendedFrags.fastq.gz	C008.extendedFrags.fastq.gz
55978b8fd526a6294b167b7beedface5	21	19	18	8	25	17	0	9
68c70b332ab5f8f19a126d73df3e3995	10	20	18	15	20	14	0	17
67540a2dfb3b2f7f5ac61404c51ca66f	12	11	34	22	0	11	11	12
2736a3426375af0148ebd82e54e0780a	8	12	19	10	0	10	22	32
728f4723415d6c7574f0e1778f150e43	11	13	17	19	3	7	17	26
7eb77c5e9ebcf4da55a37ddb939031da	7	23	27	10	18	8	8	10
d6f7e9d5b8bd06db284c68663068d22f	7	10	23	33	8	10	0	19
bd687b90682d7bdd7cc56a19241924e9	0	0	31	30	23	0	7	19
ff6328dd475b3a370b22e7c5e90ce5dd	10	18	0	18	14	12	27	10
528adced88a560fcc4fbe596c347d52f	4	13	20	14	11	21	16	10
a871edd1ff114e7d93057532fda58792	14	13	12	11	16	13	17	12
3fc5059f1a8cabb8254a532e776de1c6	15	11	15	15	14	14	14	10
ab145b82a11c9e0cce54b3d237b7c89a	15	9	17	9	26	15	12	5
632a82790c443a6e19cfa326e3c211ab	13	21	10	15	20	11	12	6
09c82021f4bc92c4b3a94b522ec9a820	8	27	18	14	7	11	6	16
7feae571aab054929e535c751d68e7ee	6	12	31	12	12	17	8	9
17a6f3613824d7bf765283776801e486	9	17	15	10	0	15	25	16
fc69e807cacdfe546e35ce21500c9e69	17	22	16	8	10	10	16	8
f0747ad79bf63e0085062e60224420bd	12	17	8	19	16	0	20	13
d9dce281175fc6853698424089350f4c	0	10	16	19	25	5	15	15
e9ade8bc8ebe609313f756fbf6d2d358	13	6	12	11	20	17	9	15
7aa1cda9fe9da9ca554fdfae709445ef	14	11	7	11	24	6	11	19
273e0570fcc2c8764d2e82e8f8969145	3	15	10	14	13	8	23	17
e79b4441f81d9d9fcaaa53db84d58544	13	4	15	5	7	13	26	20
75ce939e5c3fc2f70cc030807be7bfad	13	11	17	15	19	12	6	8
3bd68e82311469bf7c77694d6e6e4d41	16	5	11	14	15	11	18	11
5b9ba99da2318e6c0ab3f1b19203f1ec	7	15	14	11	11	22	6	15
e895a793b3f0216c7d35ae362a7a7e28	11	14	16	10	13	16	8	12
0e544ad87fd453c9854089e81281e268	14	15	19	13	15	0	0	22
fc2217f503e570a176072e415b79eac8	0	38	18	18	5	11	0	8
a47319fbc38e49198a8f64314440e4ef	0	6	17	29	6	25	10	5
510e1e811391df74851b8eb0dc9a6b42	14	14	0	0	17	28	11	12
1d6bc9413b6fb605395a246e0fb4928b	6	26	18	6	13	0	16	10
0b491622f66343c98b125f7fce59953f	12	16	20	17	21	4	4	1
4a3c24305df3fd85aa8ce960cef52def	0	5	24	22	13	11	20	0
91e1417f9869cc3d89c5a5fe6d72b7e8	7	18	0	24	22	13	0	10
cf595a38abdc05e709e3412525dad19b	15	12	17	17	11	12	0	9
cadf84a7cb2e8d0da4ffb3aa71d50714	18	15	18	0	15	16	11	0
7fb86bc6ec64d58b9bada5e13c19486f	14	0	7	19	14	5	15	19
1648be799af33c7e39bafee608772ef6	19	15	16	10	9	15	0	8
eab7feda7c16bff36d192ee45e22c9ac	7	3	15	5	10	7	22	23
66b9c24064c4872effd2750f6bf4b8bd	21	24	4	9	17	3	0	13
0455f539cc73571546437a047af1e6ba	0	0	0	17	32	13	10	19
43f6c25c339f9786f4352e2ea0ef9123	17	0	26	12	11	0	24	0
d49085bc23e040cca37de7a4bcc13a23	0	6	36	2	0	23	12	11
a0fc84412541c3073439a84ec2cc7dd6	13	12	10	10	14	7	12	11
8101c2b4033e6cc25fe11bb1088ecfd4	12	13	12	0	8	14	16	14
cb532368f4b7b8d373113b7215e317d5	11	11	8	6	7	22	11	12
13c49ed1bdafce8c488b6fab94a768f3	11	22	9	12	15	3	7	9
87471b61ae926b7655659555658e1f02	5	12	12	7	10	11	13	15
76d4a9fe4851343fd620a18d8e2d7c87	19	6	4	3	17	10	13	12
3574b8a9af1d884ec69f6e44442944c6	0	8	14	23	0	19	7	13
ac0524021c52e46f8eb235596e37a0f0	9	8	14	11	9	0	13	18
17d6950e8f00480fe4e13f25434cc2ee	11	12	13	17	10	0	15	4
47fb5342f05d8940e8572d3d82022680	28	0	0	0	32	20	0	0
9670e2181e04e1746981d5907c52d8a8	21	12	20	9	12	0	4	0
85c7db0c7722c88278e7722f3d4fe1bb	14	16	26	0	8	9	5	0
2710fb626e03d4e5f6c5b21ba740d849	11	3	21	9	12	0	8	14
0f4df765d57d999ba3327d723c7a7f29	20	10	9	13	3	7	4	12
35f4be2f94f9e7053e69ea4b06d3966d	8	17	12	7	11	11	8	4
4da5fcd1b563c681c99e6c30cd5d7b62	12	9	10	4	14	17	4	7
80f07cca5dc22387a7930841418f94b5	6	8	13	7	12	6	13	11
87e57745d2c69e51deb36f229c72ac2b	0	0	15	0	26	18	4	13
6e1362e4ab3cfe832632d6df40a6a21a	7	4	10	0	10	13	18	13
0392f95137300d8822bdeca84f9b0353	0	12	14	25	12	0	0	12
29c60fc3f394e4946d454c24830fae9e	8	2	10	8	5	4	13	23
ec61a737c27a85b027036b1c2f37981e	6	11	0	0	0	19	13	24
5fddf4c375875d9fe4ad6387c2844154	13	22	16	0	10	0	12	0
46b9a8050845bfaea7bc6fcb375e4cb2	0	0	9	0	27	0	19	18
2a0c8f9e31e9449bd2b7d457c278801a	0	0	0	73	0	0	0	0
ff244f8e364accc9d7e9edbc16413ca0	10	7	3	10	14	10	9	9
692a1262909d3f921326ea1b6cd619c9	7	0	17	15	0	0	14	19
3698b4621d9fab0fdbfacab74f81d1d7	12	10	0	15	9	12	5	8
fa39567fb364b822b893aa0971340961	15	7	15	0	19	7	0	8
9c363e841f8ba17fa380c7dfbec23344	13	12	0	0	19	12	0	14
4b9fbb9181220803d462e495571c05f5	13	0	6	12	8	9	12	10
7d377d1e7825a64d6f6165e2b0bb1653	11	11	11	4	15	10	3	5
adc11d2f2c6e789130c02e2c8878e0e1	12	7	19	10	10	0	12	0
7483ec4f3baa61414bd6c47bdbafd7d4	14	12	0	11	10	0	11	12
e84e40b844ecfd2856e23658d1f65f40	0	20	19	17	8	0	6	0
aa6f0987a39a8011764048e0f6024217	21	12	0	8	9	17	0	0
c766e88a8b7c90d7b8b2743acd906cdd	12	7	13	11	10	9	5	0
4ff06db1cdb2b1c8461bafce2c6642b4	0	9	14	0	0	23	21	0
d4ec0314da157a0212e7f85925e6d6bf	10	8	0	9	9	11	14	5
dc40a4e196086e2b9ad74b5264f829de	0	16	25	11	0	11	3	0
6318c30a220ce8ed8b2d6a37923fafa7	0	0	0	0	65	0	0	0
9418433ba56d9c674fe3d0629c65cb0c	4	7	11	5	11	8	10	8
7e5b0015e8af38fa0746b492b905756f	0	4	9	13	6	12	11	9
c65990540772e2372f934d5cb0ffe2f9	11	9	4	3	15	6	7	8
f78a84661929ba4b05c63fba95d8bccd	0	13	4	12	0	27	0	6
3ea95f9570dd6d9c94bd1d0b6af7c6f7	0	0	23	7	4	0	11	17
a4ce3be7207aa18baa590b8abaaba6fa	4	8	11	8	11	8	11	0
ee4235159881fb5eb192a976b23bbdff	5	10	10	9	13	5	5	4
0a4e26c33d2bc0bc15f4f0730736900e	22	10	8	7	0	9	0	5
6c033f033e87d15942c55f90c6833535	5	12	9	9	9	8	6	3
960b9dd33e7cc45dbda6f55e4e977d31	3	10	13	10	5	11	4	4
0a40d18c89bec14539e9a7275d2f4d0c	9	12	4	11	4	0	11	9
0354a293cd2a2d78fb1d50dc79395ff0	4	11	8	5	13	6	6	7
23182e8c1860a48f21295c1e72f17bbc	16	23	0	20	0	0	0	0
d2d2d117aba2f83f6ab655d9b1d70ab8	7	6	0	12	13	6	5	10
ea5e1d6a87f69091aa2f4dd44054473b	7	23	6	0	7	10	5	0
1f9bf6a7be62fae4546720545c85784d	12	8	6	15	6	5	0	4
72365f11ac3e2e0fe428cce95be4bbb6	0	14	6	10	11	8	0	7
950abf476c71e8c7049e1cf15558edd5	15	8	0	3	14	0	5	10
5fefbdb2f3b8c72e3a8ebfd6764810d7	4	10	15	0	3	13	0	10
9bc2c4931f6edd240b30cd57016d1844	9	10	7	0	0	10	12	7
14bc4e4cd78816c0b4c2fd526a17c853	5	2	15	6	5	0	12	10
cd4a157eddb690678ed3adc3ceaba27b	14	0	6	4	8	0	8	13
c2864effe6af440896d6a8d4eda2fec0	8	10	0	12	8	15	0	0
7fde6688fe05ae688534b9ee13e34612	7	9	0	13	4	6	14	0
c5ca14955bc2a3b526aee3b5ae2329e9	4	8	8	8	9	7	9	0
96c427a26f9bb3a9d39dce1da90883b5	8	7	7	3	16	0	4	7
ab8adb0825658cbd62556ccca098fa6c	18	8	0	12	0	13	0	0
158f129f85ed32fe9ed3f132283ba9c6	7	18	0	6	12	8	0	0
2518775ac179ba66ffe59a38feb836c5	0	0	0	0	0	51	0	0
001acc4b3b7a112381733116f866798d	50	0	0	0	0	0	0	0
5691e15d1187ed0a22792fd97a79e3a4	0	0	0	0	0	0	50	0
4c9836a2b243349cf0a5b400a334d510	13	0	9	8	12	0	7	0
f8db2c21a89d0763de72a5d4845478d1	0	49	0	0	0	0	0	0
0f8b4913e91e322b142efd0471772ed8	9	6	0	13	3	7	6	4
eaa49c907c2cf99d7857f038ed644886	0	16	9	9	4	10	0	0
304e48fc707c0f4d44c387720dd032ce	0	8	13	8	9	10	0	0
60cc895c5af8e200caf71668bfade572	0	0	0	0	48	0	0	0
e17825220bd965fb71a4cfdbfda6b577	11	11	0	5	6	14	0	0
7039c19f6b76a55224e58558d5c1b4fb	5	5	6	16	5	6	4	0
5a2ede9b4df86d42de49ac5087c1fd95	4	6	7	7	4	5	10	4
24269301d3475de2d6e7e677a9bfe747	0	0	0	0	0	0	0	47
8f52dac9d42e6e0d417612f1c21979b3	6	0	11	14	5	3	0	7
f516d92aab2c2d0ec5bcba8056dfd573	5	6	6	0	16	13	0	0
3b547ade13f9e4bc08539dd8ea523530	0	12	0	0	4	22	0	8
aac99a4152f27fdff032ffc84acd131d	0	8	19	12	0	0	0	7
5b706110adb535ff3eb9c9c1b8bd1538	0	8	10	0	8	10	1	9
01a0ff354bacf4e3354b20b342561387	8	8	3	15	2	0	5	4
c188952ba3daef62574673eb2903bab7	17	0	10	0	10	7	0	0
031a8dcfe4e1291cac48fee5df053497	5	8	5	0	12	10	0	4
36ac69d0802d3c6a608491fdda673b68	0	5	12	8	7	0	7	5
66e24929f713a12e45c1651059a37a78	0	0	19	0	25	0	0	0
6f1135d57986c2249e0526a38782c6c2	5	0	7	0	13	5	9	4
9d7003ae013cd4d0aaead0e81f35bc5c	7	9	0	8	5	8	6	0
f203ede9025a3e4604665a94f35e54e5	0	3	5	4	7	12	0	12
d5df3e9907123efd483d5215549ca821	0	0	0	0	12	9	10	12
565898a0660a1cb8242667efff7fd25c	7	7	2	3	7	4	5	7
f3bdd01c19dc6605b3954eb8fb00fde1	3	7	9	5	4	7	0	7
c63c78fe99c6bfb5fa2bc3af61b120fe	3	4	4	0	8	13	2	8
1ee5a562f749a4632369d1dd4eb16ad9	0	0	18	0	19	0	0	5
3c4c839202e87d7d55e9cb17d3cdbdd1	10	4	5	5	0	3	6	8
7ebd3dd821c91247e9019f738b3cf166	13	0	11	0	0	0	8	9
c0881c1e91d8045c79c04f1a3f4f31d0	0	15	7	8	4	0	7	0
a067e57e68dc0a6980766dd1f0a99d0a	0	0	41	0	0	0	0	0
b3ca99778ec3eb4c97b3f0543f838040	0	0	0	0	0	0	0	41
5c6e544bddf45a2ab21c724fa2f3fa57	2	4	7	0	6	0	6	14
c67b9a897330b286990d67c27aa60963	3	0	9	0	11	8	5	3
53fea3572b5149ca274b9a966deb2c0c	0	0	39	0	0	0	0	0
87910074f135b42b1a19ff1142fdd6cd	0	0	39	0	0	0	0	0
c78b4816115076740bf851257cdd2b77	0	0	0	0	0	38	0	0
8856f443cf23952ffd59d30e0f3e0b2b	6	0	0	0	12	5	10	4
95aaf2f8654f7215ed751bd686934b10	5	5	6	5	3	0	5	8
29e59f6d61c37327eaf4e4f8d2b4e58a	7	8	0	8	0	8	0	5
a03dc6e3e1104e4123ca3e12b216db4e	6	3	0	2	9	5	4	7
4957788046e536b7449a369a069cbf1a	2	11	7	7	0	5	0	4
74ea8fe1140516bf5887e3aeacd805f7	4	6	8	8	0	4	0	6
acaba011b54ae817e12d3d04414c0a68	0	0	0	0	0	0	36	0
747bb7f00ced22ec192b0bdedcb9ebfa	0	0	0	0	0	0	36	0
8aa99c460499527c6082fc636532b71e	7	6	6	8	3	5	0	0
7134b7a54f27c6792e418a76cb4b5a2d	0	0	0	0	0	35	0	0
24847901d0259b12360b5a27d4f4310d	0	0	0	0	0	0	35	0
abe56cee172981fa795d1c19fcb40967	3	0	0	0	0	0	18	13
db7dbe77e4e4c20b265cbb68448cbdb9	5	2	11	0	7	0	5	4
eee8d20ab3265a872770aa3ffe2f0cb8	0	0	0	0	0	34	0	0
d0f68a517c1059a3d2d47962147244d6	5	5	6	4	5	4	3	1
775257c5e1e12b0642ca4921aa193931	5	7	4	3	0	0	9	5
30ab0164b939dce82dcdede17ab0e791	17	0	0	0	16	0	0	0
a9f2ef344b9f142daad8f6b8aee206b4	0	10	9	0	11	0	0	3
27dad9e01189cc96ef76e3e7d8c043cd	0	6	7	0	8	5	7	0
f3e849a84f5ae31febd25d2533531f01	0	6	0	6	6	9	6	0
72ac4e044188585a35cdf005488ada64	0	0	33	0	0	0	0	0
3a8373fa50e422cce06e3d0678a8d8e2	0	0	0	0	0	0	33	0
b941a454cfa369c4c83b5fc7a30021b9	32	0	0	0	0	0	0	0
68066a9cccc4776bbb5c3f8a1967b147	6	4	2	1	8	3	7	1
24bf00082d37832451a5c6c87a554285	0	0	32	0	0	0	0	0
fa04bec8c00f1fe661062e9f8fb46d55	0	0	32	0	0	0	0	0
761b1b4cc89c019886e37facfa12db65	0	0	0	0	0	32	0	0
2ea4db0d1f6138bbfa41ee01d6e52392	3	0	8	0	0	5	10	5
3c5351ac54fcb3c1cc7e0e2729da8898	0	6	5	0	8	6	6	0
aeef771204a132e831ec85704aead1ce	0	31	0	0	0	0	0	0
e2fee8c847139bab919bafbbb826c346	0	0	18	0	0	13	0	0
1310475901e71bb9703cf41b20c9d7ae	0	0	10	0	6	8	0	7
bb9a16cb3294f8075a623bef1479f3d8	0	0	0	0	0	0	31	0
2179408c0f2a74b80a9ec38bfe0195c9	4	5	5	1	5	6	3	1
8377e24ad3db498e645c732a817b6396	3	8	4	0	8	2	5	0
a31e21bee244d0fa35c45ff6d4eae3c3	13	0	0	17	0	0	0	0
e0762cccb364845972a0f61be07aa516	0	0	30	0	0	0	0	0
d166696ff5bad11640c6953e96f3c030	0	0	0	0	30	0	0	0
652565dc54d45337b31a108d807324a5	0	0	0	0	11	19	0	0
874343706b6d98592f4b66738f170a4f	0	0	0	0	0	0	0	30
88ba36260842dfd37462604bfd13ad5e	3	8	4	1	2	4	3	4
a42d146b18e75a8d4f9ceb3dac9b8ad9	10	0	10	0	6	0	2	1
c4c4ad3e7a38f674c8b9fc3d38efb054	0	0	0	0	29	0	0	0
d19da3d9a1a856bcbf62a7903f50df2a	0	0	0	0	0	0	0	29
8a3a463b6fd8c40429b8d578ac4be2da	0	0	0	0	0	0	0	29
0d4bcc6749dcb4d49efb7558c5b5572e	28	0	0	0	0	0	0	0
1589c5f931906b6dda50599a082363a1	28	0	0	0	0	0	0	0
f617b6cfee04aaf88f5618c39c11a552	0	0	28	0	0	0	0	0
e6e9a8996992398a5c7f730238783e37	0	0	0	0	0	28	0	0
b764b89e3cb2d5ac2d6be16d83bca465	27	0	0	0	0	0	0	0
0b192dd80dd2df6e74d87cfd9fb3eb40	3	7	0	0	7	6	4	0
b8c5973b8449bc63cc59d73b79f6e8f0	5	0	2	4	6	9	0	1
e4de02fc67c0f39cad1142e71707690f	0	27	0	0	0	0	0	0
34933f8f7bcf2c2fbf5595f651e939a7	26	0	0	0	0	0	0	0
dec7ba7341ed76f27f20365ae9191a51	5	4	2	0	5	7	3	0
223d76831aa74d30c258ed7c2cf0d14d	14	0	12	0	0	0	0	0
141c4419c0887afde3e62d4ef6a45bb7	0	26	0	0	0	0	0	0
e41a40c31f458730e0d1dc971cbb5a63	0	26	0	0	0	0	0	0
0752b8fd2111ec50fb2f072a40678d4c	0	6	0	5	0	15	0	0
c0d89e44acda0b40436ce3d25474865e	0	0	0	0	7	0	9	10
b67feee875d85ec3beec32135a1a6b43	0	0	0	0	0	26	0	0
ef047cd3b75f959e31eb407a1a588e2d	1	4	5	0	4	5	0	6
b5f5186fdcbb9e51c1bc0208d7b62c7d	0	0	0	25	0	0	0	0
91f2fb3ca959b060fe4f21a7b8ac41ca	0	0	0	0	0	0	25	0
c73ae1c1341c10a53f574c252b39e7ec	0	0	0	0	0	0	25	0
d819a4a54ee3b3cf0096d89ac3e19fdd	0	0	0	0	0	0	0	25
9d950721f042084b875d98de2e413845	0	0	24	0	0	0	0	0
473822cc1a1c63728f430bec663edcc8	0	0	0	13	11	0	0	0
a9ace5f1978080f97351fff4a4198cc1	0	0	0	0	24	0	0	0
c5c75b1003f997023342cf2cea610bec	0	0	0	0	24	0	0	0
c5f163f75a00b528b31fcd19f60a81a1	0	0	0	0	12	12	0	0
2d6d95dbf68712ebee6544cad6255bbe	0	0	0	0	24	0	0	0
9b597cb9a0f47cb742a1621e93d65d59	0	0	0	0	0	24	0	0
4eb450a5d97f406ac27b3d088406704a	0	0	0	0	0	24	0	0
6ec720d18a1ae7bc4506132280b0ea25	0	0	0	0	0	0	0	24
9dff8678895fe4b5a90619ac2291ecbe	23	0	0	0	0	0	0	0
66f26d9871b5d0bf9ca252e382581ff2	0	23	0	0	0	0	0	0
5441179d39a75902e0449af809507b0e	0	0	23	0	0	0	0	0
a82a05606800a32eaef90666fc683be6	0	0	0	0	23	0	0	0
4a8a3f2fc325a8839b9d59fa3f723aa0	0	0	0	0	0	0	0	23
7ef0c51abc18415d17f2bd9c2c2ccdf9	7	3	0	0	6	1	5	0
a9cf7da0fa0d964bac141e155e34ac38	4	2	0	2	4	0	4	6
c8040bf128447c667127784e8218edcc	22	0	0	0	0	0	0	0
b20208ff619f891658a3c12969b30835	22	0	0	0	0	0	0	0
